event,date,location,r_fighter,b_fighter,status,r_kd,b_kd,r_str,b_str,r_td,b_td,r_sub,b_sub,weight_class,method,method_detailed,round,time
UFC Fight Night: Ribas vs. Namajunas,3/23/2024,"Las Vegas, Nevada, USA",Andre Lima,Igor Severino,win,0,0,30,36,1,5,2,0,Flyweight,DQ,,2,2:52
UFC Fight Night: Ribas vs. Namajunas,3/23/2024,"Las Vegas, Nevada, USA",Mick Parkin,Mohammed Usman,win,0,0,72,57,0,0,0,0,Heavyweight,U-DEC,,3,5:00
UFC Fight Night: Tuivasa vs. Tybura,3/16/2024,"Las Vegas, Nevada, USA",Marcin Tybura,Tai Tuivasa,win,0,0,27,15,1,0,1,0,Heavyweight,SUB,Rear Naked Choke,1,4:08
UFC Fight Night: Tuivasa vs. Tybura,3/16/2024,"Las Vegas, Nevada, USA",Ovince Saint Preux,Kennedy Nzechukwu,win,1,0,143,106,0,0,0,0,Light Heavyweight,S-DEC,,3,5:00
UFC Fight Night: Tuivasa vs. Tybura,3/16/2024,"Las Vegas, Nevada, USA",Christian Rodriguez,Isaac Dulgarian,win,0,0,48,22,0,7,0,2,Featherweight,S-DEC,,3,5:00
UFC Fight Night: Tuivasa vs. Tybura,3/16/2024,"Las Vegas, Nevada, USA",Macy Chiasson,Pannie Kianzad,win,0,0,4,2,2,1,1,0,Women's Bantamweight,SUB,Rear Naked Choke,1,3:54
UFC Fight Night: Tuivasa vs. Tybura,3/16/2024,"Las Vegas, Nevada, USA",Gerald Meerschaert,Bryan Barberena,win,0,0,11,12,3,0,2,0,Middleweight,SUB,Rear Naked Choke,2,4:23
UFC Fight Night: Tuivasa vs. Tybura,3/16/2024,"Las Vegas, Nevada, USA",Mike Davis,Natan Levy,win,1,0,3,8,0,1,1,0,Lightweight,SUB,Arm Triangle,2,1:43
UFC Fight Night: Tuivasa vs. Tybura,3/16/2024,"Las Vegas, Nevada, USA",Chelsea Chandler,Josiane Nunes,win,0,0,58,47,2,0,0,0,Women's Bantamweight,U-DEC,,3,5:00
UFC Fight Night: Tuivasa vs. Tybura,3/16/2024,"Las Vegas, Nevada, USA",Jafel Filho,Ode Osbourne,win,0,0,21,0,1,0,2,0,Flyweight,SUB,Rear Naked Choke,1,4:27
UFC Fight Night: Tuivasa vs. Tybura,3/16/2024,"Las Vegas, Nevada, USA",Danny Silva,Josh Culibao,win,0,0,45,87,4,0,1,0,Featherweight,S-DEC,,3,5:00
UFC Fight Night: Tuivasa vs. Tybura,3/16/2024,"Las Vegas, Nevada, USA",Jaqueline Amorim,Cory McKenna,win,0,0,3,4,0,1,4,0,Women's Strawweight,SUB,Armbar,1,1:38
UFC Fight Night: Tuivasa vs. Tybura,3/16/2024,"Las Vegas, Nevada, USA",Thiago Moises,Mitch Ramirez,win,1,0,25,16,2,0,1,0,Lightweight,KO/TKO,Kick,3,0:15
UFC Fight Night: Tuivasa vs. Tybura,3/16/2024,"Las Vegas, Nevada, USA",Chad Anheliger,Charalampos Grigoriou,win,0,0,85,21,0,4,0,0,Bantamweight,U-DEC,,3,5:00
UFC 299: O'Malley vs. Vera 2,3/9/2024,"Miami, Florida, USA",Sean O'Malley,Marlon Vera,win,0,0,230,89,0,0,0,0,Bantamweight,U-DEC,,5,5:00
UFC 299: O'Malley vs. Vera 2,3/9/2024,"Miami, Florida, USA",Dustin Poirier,Benoit Saint Denis,win,1,0,28,50,0,3,4,1,Lightweight,KO/TKO,Punch,2,2:32
UFC 299: O'Malley vs. Vera 2,3/9/2024,"Miami, Florida, USA",Michael Page,Kevin Holland,win,0,0,41,29,0,2,0,1,Welterweight,U-DEC,,3,5:00
UFC 299: O'Malley vs. Vera 2,3/9/2024,"Miami, Florida, USA",Jack Della Maddalena,Gilbert Burns,win,1,0,67,27,0,7,0,0,Welterweight,KO/TKO,Elbows,3,3:43
UFC 299: O'Malley vs. Vera 2,3/9/2024,"Miami, Florida, USA",Petr Yan,Song Yadong,win,0,0,99,86,2,1,0,0,Bantamweight,U-DEC,,3,5:00
UFC 299: O'Malley vs. Vera 2,3/9/2024,"Miami, Florida, USA",Curtis Blaydes,Jailton Almeida,win,0,0,16,1,0,9,0,0,Heavyweight,KO/TKO,Punches,2,0:36
UFC 299: O'Malley vs. Vera 2,3/9/2024,"Miami, Florida, USA",Maycee Barber,Katlyn Cerminara,win,0,0,84,66,4,1,0,0,Women's Flyweight,U-DEC,,3,5:00
UFC 299: O'Malley vs. Vera 2,3/9/2024,"Miami, Florida, USA",Mateusz Gamrot,Rafael Dos Anjos,win,0,1,57,36,11,0,0,0,Lightweight,U-DEC,,3,5:00
UFC 299: O'Malley vs. Vera 2,3/9/2024,"Miami, Florida, USA",Kyler Phillips,Pedro Munhoz,win,0,0,114,52,0,1,0,0,Bantamweight,U-DEC,,3,5:00
UFC 299: O'Malley vs. Vera 2,3/9/2024,"Miami, Florida, USA",Philipe Lins,Ion Cutelaba,win,0,0,67,47,2,0,0,0,Light Heavyweight,U-DEC,,3,5:00
UFC 299: O'Malley vs. Vera 2,3/9/2024,"Miami, Florida, USA",Michel Pereira,Michal Oleksiejczuk,win,0,0,11,1,0,0,1,0,Middleweight,SUB,Rear Naked Choke,1,1:01
UFC 299: O'Malley vs. Vera 2,3/9/2024,"Miami, Florida, USA",Robelis Despaigne,Josh Parisian,win,1,0,7,2,0,0,0,0,Heavyweight,KO/TKO,Punch,1,0:18
UFC 299: O'Malley vs. Vera 2,3/9/2024,"Miami, Florida, USA",Asu Almabayev,CJ Vergara,win,0,0,44,29,9,0,0,0,Flyweight,U-DEC,,3,5:00
UFC 299: O'Malley vs. Vera 2,3/9/2024,"Miami, Florida, USA",Joanne Wood,Maryna Moroz,win,0,0,136,102,1,1,0,0,Women's Flyweight,S-DEC,,3,5:00
UFC Fight Night: Rozenstruik vs. Gaziev,3/2/2024,"Las Vegas, Nevada, USA",Jairzinho Rozenstruik,Shamil Gaziev,win,0,0,127,22,0,1,0,0,Heavyweight,KO/TKO,,4,5:00
UFC Fight Night: Rozenstruik vs. Gaziev,3/2/2024,"Las Vegas, Nevada, USA",Vitor Petrino,Tyson Pedro,win,0,0,27,30,3,0,0,0,Light Heavyweight,U-DEC,,3,5:00
UFC Fight Night: Rozenstruik vs. Gaziev,3/2/2024,"Las Vegas, Nevada, USA",Muhammad Mokaev,Alex Perez,win,0,0,47,30,3,0,0,0,Flyweight,U-DEC,,3,5:00
UFC Fight Night: Rozenstruik vs. Gaziev,3/2/2024,"Las Vegas, Nevada, USA",Umar Nurmagomedov,Bekzat Almakhan,win,0,1,68,3,5,0,0,0,Bantamweight,U-DEC,,3,5:00
UFC Fight Night: Rozenstruik vs. Gaziev,3/2/2024,"Las Vegas, Nevada, USA",Steve Erceg,Matt Schnell,win,1,0,34,22,0,0,0,0,Flyweight,KO/TKO,Punch,2,0:26
UFC Fight Night: Rozenstruik vs. Gaziev,3/2/2024,"Las Vegas, Nevada, USA",Eryk Anders,Jamie Pickett,win,0,1,23,20,5,0,0,0,Middleweight,U-DEC,,3,5:00
UFC Fight Night: Rozenstruik vs. Gaziev,3/2/2024,"Las Vegas, Nevada, USA",Vinicius Oliveira,Benardo Sopaj,win,1,0,67,45,2,3,0,0,Bantamweight,KO/TKO,Flying Knee,3,4:41
UFC Fight Night: Rozenstruik vs. Gaziev,3/2/2024,"Las Vegas, Nevada, USA",Aiemann Zahabi,Javid Basharat,win,0,0,75,67,0,0,0,0,Bantamweight,U-DEC,,3,5:00
UFC Fight Night: Rozenstruik vs. Gaziev,3/2/2024,"Las Vegas, Nevada, USA",Christian Leroy Duncan,Claudio Ribeiro,win,0,0,65,4,1,0,0,0,Middleweight,KO/TKO,Punches,2,1:57
UFC Fight Night: Rozenstruik vs. Gaziev,3/2/2024,"Las Vegas, Nevada, USA",Ludovit Klein,AJ Cunningham,win,1,0,60,36,2,0,0,0,Lightweight,KO/TKO,Kick,1,4:36
UFC Fight Night: Rozenstruik vs. Gaziev,3/2/2024,"Las Vegas, Nevada, USA",Loik Radzhabov,Abdul-Kareem Al-Selwady,win,1,0,39,38,4,3,0,0,Lightweight,KO/TKO,Punch,3,0:49
UFC Fight Night: Moreno vs. Royval 2,2/24/2024,"Mexico City, Distrito Federal, Mexico",Brandon Royval,Brandon Moreno,win,0,0,145,112,1,3,0,0,Flyweight,S-DEC,,5,5:00
UFC Fight Night: Moreno vs. Royval 2,2/24/2024,"Mexico City, Distrito Federal, Mexico",Brian Ortega,Yair Rodriguez,win,0,1,28,55,3,0,1,0,Featherweight,SUB,Arm Triangle,3,0:58
UFC Fight Night: Moreno vs. Royval 2,2/24/2024,"Mexico City, Distrito Federal, Mexico",Daniel Zellhuber,Francisco Prado,win,0,0,120,90,0,0,0,0,Lightweight,U-DEC,,3,5:00
UFC Fight Night: Moreno vs. Royval 2,2/24/2024,"Mexico City, Distrito Federal, Mexico",Yazmin Jauregui,Sam Hughes,win,0,0,94,83,0,0,0,0,Women's Strawweight,U-DEC,,3,5:00
UFC Fight Night: Moreno vs. Royval 2,2/24/2024,"Mexico City, Distrito Federal, Mexico",Manuel Torres,Chris Duncan,win,0,0,3,1,2,1,1,0,Lightweight,SUB,Rear Naked Choke,1,1:46
UFC Fight Night: Moreno vs. Royval 2,2/24/2024,"Mexico City, Distrito Federal, Mexico",Raoni Barcelos,Cristian Quinonez,win,0,0,43,29,2,2,2,0,Bantamweight,SUB,Rear Naked Choke,3,2:04
UFC Fight Night: Moreno vs. Royval 2,2/24/2024,"Mexico City, Distrito Federal, Mexico",Jesus Aguilar,Mateus Mendonca,win,0,0,19,18,1,4,1,1,Flyweight,S-DEC,,3,5:00
UFC Fight Night: Moreno vs. Royval 2,2/24/2024,"Mexico City, Distrito Federal, Mexico",Edgar Chairez,Daniel Lacerda,win,0,0,9,4,0,1,1,0,Flyweight,SUB,Triangle Choke,1,2:17
UFC Fight Night: Moreno vs. Royval 2,2/24/2024,"Mexico City, Distrito Federal, Mexico",Fares Ziam,Claudio Puelles,win,0,0,31,4,0,7,1,0,Lightweight,S-DEC,,3,5:00
UFC Fight Night: Moreno vs. Royval 2,2/24/2024,"Mexico City, Distrito Federal, Mexico",Ronaldo Rodriguez,Denys Bondar,win,0,0,31,41,0,4,1,0,Flyweight,SUB,Rear Naked Choke,2,4:59
UFC Fight Night: Moreno vs. Royval 2,2/24/2024,"Mexico City, Distrito Federal, Mexico",Felipe dos Santos,Victor Altamirano,win,0,0,37,40,0,9,1,0,Flyweight,S-DEC,,3,5:00
UFC Fight Night: Moreno vs. Royval 2,2/24/2024,"Mexico City, Distrito Federal, Mexico",Muhammad Naimov,Erik Silva,win,0,0,1,0,1,0,0,0,Featherweight,KO/TKO,,1,0:44
UFC 298: Volkanovski vs. Topuria,2/17/2024,"Anaheim, California, USA",Ilia Topuria,Alexander Volkanovski,win,1,0,35,47,0,0,0,0,Featherweight,KO/TKO,Punch,2,3:32
UFC 298: Volkanovski vs. Topuria,2/17/2024,"Anaheim, California, USA",Robert Whittaker,Paulo Costa,win,0,0,95,67,0,0,0,0,Middleweight,U-DEC,,3,5:00
UFC 298: Volkanovski vs. Topuria,2/17/2024,"Anaheim, California, USA",Ian Machado Garry,Geoff Neal,win,0,0,67,46,0,0,0,0,Welterweight,S-DEC,,3,5:00
UFC 298: Volkanovski vs. Topuria,2/17/2024,"Anaheim, California, USA",Merab Dvalishvili,Henry Cejudo,win,0,0,74,29,5,1,1,0,Bantamweight,U-DEC,,3,5:00
UFC 298: Volkanovski vs. Topuria,2/17/2024,"Anaheim, California, USA",Anthony Hernandez,Roman Kopylov,win,0,0,34,35,3,0,2,0,Middleweight,SUB,Rear Naked Choke,2,3:23
UFC 298: Volkanovski vs. Topuria,2/17/2024,"Anaheim, California, USA",Amanda Lemos,Mackenzie Dern,win,1,0,41,21,2,1,0,0,Women's Strawweight,U-DEC,,3,5:00
UFC 298: Volkanovski vs. Topuria,2/17/2024,"Anaheim, California, USA",Marcos Rogerio de Lima,Junior Tafa,win,1,0,33,11,1,0,0,0,Heavyweight,KO/TKO,Kick,2,1:14
UFC 298: Volkanovski vs. Topuria,2/17/2024,"Anaheim, California, USA",Rinya Nakamura,Carlos Vera,win,0,0,38,12,3,0,0,0,Bantamweight,U-DEC,,3,5:00
UFC 298: Volkanovski vs. Topuria,2/17/2024,"Anaheim, California, USA",Zhang Mingyang,Brendson Ribeiro,win,1,0,17,14,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,1:41
UFC 298: Volkanovski vs. Topuria,2/17/2024,"Anaheim, California, USA",Danny Barlow,Josh Quinlan,win,1,0,95,39,0,0,0,0,Welterweight,KO/TKO,Punches,3,1:18
UFC 298: Volkanovski vs. Topuria,2/17/2024,"Anaheim, California, USA",Oban Elliott,Val Woodburn,win,0,1,70,23,3,2,0,0,Welterweight,U-DEC,,3,5:00
UFC 298: Volkanovski vs. Topuria,2/17/2024,"Anaheim, California, USA",Miranda Maverick,Andrea Lee,win,0,0,66,36,3,2,0,1,Women's Flyweight,U-DEC,,3,5:00
UFC Fight Night: Hermansson vs. Pyfer,2/10/2024,"Las Vegas, Nevada, USA",Jack Hermansson,Joe Pyfer,win,0,0,121,92,1,0,0,0,Middleweight,U-DEC,,5,5:00
UFC Fight Night: Hermansson vs. Pyfer,2/10/2024,"Las Vegas, Nevada, USA",Dan Ige,Andre Fili,win,1,0,11,8,0,0,0,0,Featherweight,KO/TKO,Punch,1,2:43
UFC Fight Night: Hermansson vs. Pyfer,2/10/2024,"Las Vegas, Nevada, USA",Ihor Potieria,Robert Bryczek,win,1,0,67,32,0,0,0,0,Middleweight,U-DEC,,3,5:00
UFC Fight Night: Hermansson vs. Pyfer,2/10/2024,"Las Vegas, Nevada, USA",Gregory Rodrigues,Brad Tavares,win,0,0,71,37,2,0,0,0,Middleweight,KO/TKO,Punches,3,0:55
UFC Fight Night: Hermansson vs. Pyfer,2/10/2024,"Las Vegas, Nevada, USA",Michael Johnson,Darrius Flowers,win,0,0,61,33,4,0,0,0,Lightweight,U-DEC,,3,5:00
UFC Fight Night: Hermansson vs. Pyfer,2/10/2024,"Las Vegas, Nevada, USA",Rodolfo Vieira,Armen Petrosyan,win,0,0,6,9,3,0,1,0,Middleweight,SUB,Arm Triangle,1,4:48
UFC Fight Night: Hermansson vs. Pyfer,2/10/2024,"Las Vegas, Nevada, USA",Carlos Prates,Trevin Giles,win,1,0,37,68,0,0,0,0,Welterweight,KO/TKO,Punch,2,4:03
UFC Fight Night: Hermansson vs. Pyfer,2/10/2024,"Las Vegas, Nevada, USA",Bolaji Oki,Timmy Cuamba,win,0,0,60,33,1,1,0,0,Lightweight,S-DEC,,3,5:00
UFC Fight Night: Hermansson vs. Pyfer,2/10/2024,"Las Vegas, Nevada, USA",Loma Lookboonmee,Bruna Brasil,win,0,0,58,28,1,1,0,0,Women's Strawweight,U-DEC,,3,5:00
UFC Fight Night: Hermansson vs. Pyfer,2/10/2024,"Las Vegas, Nevada, USA",Marcin Prachnio,Devin Clark,win,0,0,101,53,1,0,0,0,Light Heavyweight,U-DEC,,3,5:00
UFC Fight Night: Hermansson vs. Pyfer,2/10/2024,"Las Vegas, Nevada, USA",Max Griffin,Jeremiah Wells,win,0,0,26,32,1,1,0,0,Welterweight,S-DEC,,3,5:00
UFC Fight Night: Hermansson vs. Pyfer,2/10/2024,"Las Vegas, Nevada, USA",Bogdan Guskov,Zac Pauga,win,1,0,10,17,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,3:38
UFC Fight Night: Hermansson vs. Pyfer,2/10/2024,"Las Vegas, Nevada, USA",Hyder Amil,Fernie Garcia,win,1,0,79,26,1,0,2,0,Featherweight,KO/TKO,Punches,2,2:12
UFC Fight Night: Dolidze vs. Imavov,2/3/2024,"Las Vegas, Nevada, USA",Nassourdine Imavov,Roman Dolidze,win,1,0,112,34,0,0,1,0,Middleweight,M-DEC,,5,5:00
UFC Fight Night: Dolidze vs. Imavov,2/3/2024,"Las Vegas, Nevada, USA",Renato Moicano,Drew Dober,win,0,0,23,23,3,1,0,0,Lightweight,U-DEC,,3,5:00
UFC Fight Night: Dolidze vs. Imavov,2/3/2024,"Las Vegas, Nevada, USA",Randy Brown,Muslim Salikhov,win,1,0,13,10,0,0,0,0,Welterweight,KO/TKO,Punch,1,3:17
UFC Fight Night: Dolidze vs. Imavov,2/3/2024,"Las Vegas, Nevada, USA",Natalia Silva,Viviane Araujo,win,0,0,38,26,0,1,0,0,Women's Flyweight,U-DEC,,3,5:00
UFC Fight Night: Dolidze vs. Imavov,2/3/2024,"Las Vegas, Nevada, USA",Charles Radtke,Gilbert Urbina,win,2,0,30,16,0,0,0,0,Welterweight,KO/TKO,Punch,1,4:47
UFC Fight Night: Dolidze vs. Imavov,2/3/2024,"Las Vegas, Nevada, USA",Molly McCann,Diana Belbita,win,0,0,42,29,2,0,1,0,Women's Strawweight,SUB,Armbar,1,4:59
UFC Fight Night: Dolidze vs. Imavov,2/3/2024,"Las Vegas, Nevada, USA",Charles Johnson,Azat Maksum,win,0,1,76,38,2,2,3,1,Flyweight,U-DEC,,3,5:00
UFC Fight Night: Dolidze vs. Imavov,2/3/2024,"Las Vegas, Nevada, USA",Themba Gorimbo,Pete Rodriguez,win,1,0,12,0,0,0,0,0,Welterweight,KO/TKO,Punch,1,0:32
UFC Fight Night: Dolidze vs. Imavov,2/3/2024,"Las Vegas, Nevada, USA",JeongYeong Lee,Blake Bilder,win,0,0,49,19,2,0,0,0,Featherweight,U-DEC,,3,5:00
UFC Fight Night: Dolidze vs. Imavov,2/3/2024,"Las Vegas, Nevada, USA",Luana Carolina,Julija Stoliarenko,win,0,0,66,16,2,1,0,3,Women's Flyweight,KO/TKO,Punches,3,4:52
UFC Fight Night: Dolidze vs. Imavov,2/3/2024,"Las Vegas, Nevada, USA",MarQuel Mederos,Landon Quinones,win,0,0,60,55,0,1,0,0,Lightweight,U-DEC,,3,5:00
UFC Fight Night: Dolidze vs. Imavov,2/3/2024,"Las Vegas, Nevada, USA",Jamal Pogues,Thomas Petersen,win,0,0,65,58,0,1,0,0,Heavyweight,U-DEC,,3,5:00
UFC 297: Strickland vs. Du Plessis,1/20/2024,"Toronto, Ontario, Canada",Dricus Du Plessis,Sean Strickland,win,0,0,137,173,6,0,0,0,Middleweight,S-DEC,,5,5:00
UFC 297: Strickland vs. Du Plessis,1/20/2024,"Toronto, Ontario, Canada",Raquel Pennington,Mayra Bueno Silva,win,0,0,134,69,1,3,2,3,Women's Bantamweight,U-DEC,,5,5:00
UFC 297: Strickland vs. Du Plessis,1/20/2024,"Toronto, Ontario, Canada",Neil Magny,Mike Malott,win,0,0,57,45,1,4,0,0,Welterweight,KO/TKO,Punches,3,4:45
UFC 297: Strickland vs. Du Plessis,1/20/2024,"Toronto, Ontario, Canada",Chris Curtis,Marc-Andre Barriault,win,0,0,140,122,0,0,0,0,Middleweight,S-DEC,,3,5:00
UFC 297: Strickland vs. Du Plessis,1/20/2024,"Toronto, Ontario, Canada",Movsar Evloev,Arnold Allen,win,0,0,51,59,5,0,0,1,Featherweight,U-DEC,,3,5:00
UFC 297: Strickland vs. Du Plessis,1/20/2024,"Toronto, Ontario, Canada",Garrett Armfield,Brad Katona,win,0,0,105,64,0,4,0,0,Bantamweight,U-DEC,,3,5:00
UFC 297: Strickland vs. Du Plessis,1/20/2024,"Toronto, Ontario, Canada",Sean Woodson,Charles Jourdain,win,0,0,80,60,1,0,0,1,Featherweight,S-DEC,,3,5:00
UFC 297: Strickland vs. Du Plessis,1/20/2024,"Toronto, Ontario, Canada",Ramon Taveras,Serhiy Sidey,win,1,0,62,79,0,0,0,0,Bantamweight,S-DEC,,3,5:00
UFC 297: Strickland vs. Du Plessis,1/20/2024,"Toronto, Ontario, Canada",Gillian Robertson,Polyana Viana,win,0,0,23,12,2,0,1,0,Women's Strawweight,KO/TKO,Punches,2,3:12
UFC 297: Strickland vs. Du Plessis,1/20/2024,"Toronto, Ontario, Canada",Sam Patterson,Yohan Lainesse,win,0,0,5,1,1,0,1,0,Welterweight,SUB,Rear Naked Choke,1,2:03
UFC 297: Strickland vs. Du Plessis,1/20/2024,"Toronto, Ontario, Canada",Jasmine Jasudavicius,Priscila Cachoeira,win,1,0,93,24,2,0,3,0,Women's Bantamweight,SUB,Anaconda Choke,3,4:21
UFC 297: Strickland vs. Du Plessis,1/20/2024,"Toronto, Ontario, Canada",Jimmy Flick,Malcolm Gordon,win,0,0,3,37,1,1,4,1,Flyweight,SUB,Arm Triangle,2,1:17
UFC Fight Night: Ankalaev vs. Walker 2,1/13/2024,"Las Vegas, Nevada, USA",Magomed Ankalaev,Johnny Walker,win,1,0,39,24,0,0,0,0,Light Heavyweight,KO/TKO,Punch,2,2:42
UFC Fight Night: Ankalaev vs. Walker 2,1/13/2024,"Las Vegas, Nevada, USA",Jim Miller,Gabriel Benitez,win,0,0,80,80,2,0,1,0,Lightweight,SUB,Neck Crank,3,3:25
UFC Fight Night: Ankalaev vs. Walker 2,1/13/2024,"Las Vegas, Nevada, USA",Mario Bautista,Ricky Simon,win,0,0,112,45,0,2,0,0,Bantamweight,U-DEC,,3,5:00
UFC Fight Night: Ankalaev vs. Walker 2,1/13/2024,"Las Vegas, Nevada, USA",Brunno Ferreira,Phil Hawes,win,1,0,19,13,1,0,0,0,Middleweight,KO/TKO,Punch,1,4:55
UFC Fight Night: Ankalaev vs. Walker 2,1/13/2024,"Las Vegas, Nevada, USA",Waldo Cortes-Acosta,Andrei Arlovski,win,0,0,49,58,0,0,0,0,Heavyweight,U-DEC,,3,5:00
UFC Fight Night: Ankalaev vs. Walker 2,1/13/2024,"Las Vegas, Nevada, USA",Preston Parsons,Matthew Semelsberger,win,0,0,47,28,7,1,2,2,Welterweight,U-DEC,,3,5:00
UFC Fight Night: Ankalaev vs. Walker 2,1/13/2024,"Las Vegas, Nevada, USA",Marcus McGhee,Gaston Bolanos,win,1,0,65,28,1,0,0,0,Bantamweight,KO/TKO,Punches,2,3:29
UFC Fight Night: Ankalaev vs. Walker 2,1/13/2024,"Las Vegas, Nevada, USA",Farid Basharat,Taylor Lapilus,win,0,0,42,40,5,0,1,0,Bantamweight,U-DEC,,3,5:00
UFC Fight Night: Ankalaev vs. Walker 2,1/13/2024,"Las Vegas, Nevada, USA",Jean Silva,Westin Wilson,win,1,0,25,11,1,0,0,0,Featherweight,KO/TKO,Punch,1,4:12
UFC Fight Night: Ankalaev vs. Walker 2,1/13/2024,"Las Vegas, Nevada, USA",Nikolas Motta,Tom Nolan,win,1,0,21,12,0,0,0,0,Lightweight,KO/TKO,Punches,1,1:03
UFC Fight Night: Ankalaev vs. Walker 2,1/13/2024,"Las Vegas, Nevada, USA",Joshua Van,Felipe Bunes,win,1,0,83,50,1,2,0,0,Flyweight,KO/TKO,Punches,2,4:31
UFC 296: Edwards vs. Covington,12/16/2023,"Las Vegas, Nevada, USA",Leon Edwards,Colby Covington,win,0,0,57,44,2,2,2,0,Welterweight,U-DEC,,5,5:00
UFC 296: Edwards vs. Covington,12/16/2023,"Las Vegas, Nevada, USA",Alexandre Pantoja,Brandon Royval,win,0,0,95,111,8,0,1,0,Flyweight,U-DEC,,5,5:00
UFC 296: Edwards vs. Covington,12/16/2023,"Las Vegas, Nevada, USA",Shavkat Rakhmonov,Stephen Thompson,win,0,0,28,16,1,0,2,0,Welterweight,SUB,Rear Naked Choke,2,4:56
UFC 296: Edwards vs. Covington,12/16/2023,"Las Vegas, Nevada, USA",Paddy Pimblett,Tony Ferguson,win,1,0,106,62,1,0,0,0,Lightweight,U-DEC,,3,5:00
UFC 296: Edwards vs. Covington,12/16/2023,"Las Vegas, Nevada, USA",Josh Emmett,Bryce Mitchell,win,1,0,2,0,0,0,0,0,Featherweight,KO/TKO,Punch,1,1:57
UFC 296: Edwards vs. Covington,12/16/2023,"Las Vegas, Nevada, USA",Alonzo Menifield,Dustin Jacoby,win,1,0,68,93,1,0,0,0,Light Heavyweight,U-DEC,,3,5:00
UFC 296: Edwards vs. Covington,12/16/2023,"Las Vegas, Nevada, USA",Irene Aldana,Karol Rosa,win,0,0,145,204,0,0,0,0,Women's Bantamweight,U-DEC,,3,5:00
UFC 296: Edwards vs. Covington,12/16/2023,"Las Vegas, Nevada, USA",Cody Garbrandt,Brian Kelleher,win,1,0,20,17,0,0,0,0,Bantamweight,KO/TKO,Punch,1,3:42
UFC 296: Edwards vs. Covington,12/16/2023,"Las Vegas, Nevada, USA",Ariane Lipski,Casey O'Neill,win,0,0,64,31,1,0,1,0,Women's Flyweight,SUB,Armbar,2,1:18
UFC 296: Edwards vs. Covington,12/16/2023,"Las Vegas, Nevada, USA",Tagir Ulanbekov,Cody Durden,win,1,0,24,32,2,0,5,0,Flyweight,SUB,Rear Naked Choke,2,4:25
UFC 296: Edwards vs. Covington,12/16/2023,"Las Vegas, Nevada, USA",Andre Fili,Lucas Almeida,win,1,0,20,10,0,0,0,0,Featherweight,KO/TKO,Punch,1,3:32
UFC 296: Edwards vs. Covington,12/16/2023,"Las Vegas, Nevada, USA",Shamil Gaziev,Martin Buday,win,0,0,49,8,0,0,0,0,Heavyweight,KO/TKO,Punches,2,0:56
UFC Fight Night: Song vs. Gutierrez,12/9/2023,"Las Vegas, Nevada, USA",Song Yadong,Chris Gutierrez,win,0,0,77,87,2,0,0,0,Bantamweight,U-DEC,,5,5:00
